Class,Sentence 1,Sentence 2,Similarity Score,Negation Count S1,Negation Count S2,Variation Type
Class 1,Stored procedures do not execute predefined database commands.,Database stored procedures enhance performance and security.,74.43,2,0,Odd negations - no cancel
Class 1,Stored procedures execute predefined database commands.,Database stored procedures enhance do not performance and security.,74.43,0,2,Odd negations - no cancel
Class 1,Stored procedures do not execute predefined do not database commands.,Database stored procedures enhance performance and security.,74.43,4,0,Multiple negations S1
Class 1,Stored procedures execute predefined database commands.,Database stored procedures enhance not performance and security.,43.78,0,1,Multiple negations S2
Class 1,Stored procedures execute predefined do not database commands.,Database stored procedures enhance performance and security.,74.43,2,0,Multiple negations S1
Class 1,Triggers automatically execute actions on data changes.,"Database triggers respond to insert, update, or delete operations.",89.34799739,0,0,Original
Class 1,Triggers automatically execute actions on do not data changes.,"Database triggers respond to insert, update, or delete operations.",75.95,2,0,Single negation S1
Class 1,Triggers automatically execute actions on data changes.,"Database triggers respond to insert, do not update, or delete operations.",75.95,0,2,Single negation S2
Class 1,Triggers automatically execute do not actions on data changes.,"Database triggers respond to do not insert, update, or delete operations.",75.95,2,2,Even negations - cancel
Class 1,Triggers automatically execute do not actions on do not data changes.,"Database triggers do not respond to insert, do not update, or delete operations.",75.95,4,4,Even negations - cancel
Class 1,Triggers automatically execute not actions on data changes.,"Database triggers respond to not insert, update, or do not delete operations.",75.95,1,3,Even negations - cancel
Class 1,Triggers automatically execute not actions on do not data changes.,"Database triggers respond to insert, update, do not or delete operations.",44.67,3,2,Even negations - cancel
Class 1,Triggers automatically execute actions on not data changes.,"Database triggers not respond to do not insert, update, or delete operations.",75.95,1,3,Odd negations - no cancel
Class 1,Triggers automatically do not execute actions on do not data changes.,"Database triggers do not respond to insert, not update, or delete operations.",44.67,4,3,Odd negations - no cancel
Class 1,Triggers automatically not execute actions on do not data changes.,"Database triggers do not respond to insert, not update, or delete operations.",75.95,3,3,Odd negations - no cancel
Class 1,Triggers automatically execute not actions on data changes.,"Database triggers respond to insert, update, or delete operations.",44.67,1,0,Odd negations - no cancel
Class 1,Triggers automatically execute actions on data changes.,"Database triggers not respond to insert, update, or delete operations.",44.67,0,1,Odd negations - no cancel
Class 1,Triggers automatically do not execute actions on do not data changes.,"Database triggers respond to insert, update, or delete operations.",75.95,4,0,Multiple negations S1
Class 1,Triggers automatically execute actions on data changes.,"Database triggers respond to do not insert, update, or not delete operations.",44.67,0,3,Multiple negations S2
Class 1,Triggers automatically execute not actions on not data changes.,"Database triggers respond to insert, update, or delete operations.",75.95,2,0,Multiple negations S1
Class 1,Triggers automatically execute actions on data changes.,"Database triggers do not respond to insert, update, do not or delete operations.",75.95,0,4,Multiple negations S2
Class 2,NoSQL databases handle unstructured and semi-structured data.,Non-relational databases store flexible and scalable datasets.,78.52056867,0,0,Original
Class 2,NoSQL databases handle unstructured and do not semi-structured data.,Non-relational databases store flexible not and scalable datasets.,39.26,2,1,Even negations - cancel
Class 2,NoSQL databases handle unstructured not and semi-structured data.,Non-relational databases store flexible do not and scalable datasets.,39.26,1,2,Even negations - cancel
Class 2,NoSQL databases handle do not unstructured and semi-structured data.,Non-relational databases store flexible and scalable datasets.,66.74,2,0,Single negation S1
Class 2,NoSQL databases handle unstructured and semi-structured data.,Non-relational databases store flexible do not and scalable datasets.,66.74,0,2,Multiple negations S2
Class 2,NoSQL databases handle unstructured do not and semi-structured data.,Non-relational databases not store flexible and scalable datasets.,39.26,2,1,Odd negations - no cancel
Class 2,NoSQL databases handle unstructured and semi-structured data.,Non-relational databases store do not flexible and do not scalable datasets.,66.74,0,4,Multiple negations S2
Class 2,NoSQL databases handle unstructured and do not semi-structured data.,Non-relational databases store flexible and do not scalable datasets.,66.74,2,2,Even negations - cancel
Class 2,NoSQL databases do not handle unstructured do not and semi-structured data.,Non-relational databases store do not flexible and do not scalable datasets.,66.74,4,4,Odd negations - no cancel
Class 2,Database replication improves fault tolerance and availability.,Replicated databases ensure high availability by duplicating data.,84.6104053,0,0,Original
Class 2,Database replication does not improv fault tolerance do not and availability.,Replicated databases ensure not high availability by do not duplicating data.,42.31,4,3,Even negations - cancel
Class 2,Database replication does not improv fault tolerance not and availability.,Replicated databases do not ensure high availability by do not duplicating data.,42.31,3,4,Odd negations - no cancel
Class 2,Database replication does not improv fault tolerance do not and availability.,Replicated databases ensure high availability by duplicating data.,71.92,4,0,Multiple negations S1
Class 2,Database replication does not improv fault tolerance and availability.,Replicated databases ensure high availability by duplicating data.,71.92,2,0,Single negation S1
Class 2,Database replication does not improv fault tolerance not and availability.,Replicated databases do not ensure high availability by duplicating data.,42.31,3,2,Odd negations - no cancel
Class 2,Database replication does not improv fault tolerance and availability.,Replicated databases ensure high do not availability by do not duplicating data.,71.92,2,4,Odd negations - no cancel
Class 2,Database replication improves fault tolerance and availability.,Replicated databases ensure do not high availability by duplicating data.,71.92,0,2,Single negation S2
Class 2,Database replication improves fault tolerance and availability.,Replicated databases ensure high do not availability by not duplicating data.,42.31,0,3,Multiple negations S2
Class 2,Sharding partitions databases for better performance.,Database sharding distributes data across multiple servers to optimize load.,80.37164201,0,0,Original
Class 2,Sharding partitions databases for not better performance.,Database sharding distributes data across not multiple servers to do not optimize load.,68.32,1,3,Odd negations - no cancel
Class 2,Sharding partitions databases for not better performance.,Database sharding distributes data across not multiple servers to optimize load.,68.32,1,1,Even negations - cancel
Class 2,Sharding partitions databases for not better performance.,Database sharding distributes data across not multiple servers to not optimize load.,40.19,1,2,Even negations - cancel
Class 2,Sharding partitions do not databases for not better performance.,Database sharding distributes data across multiple servers to optimize load.,40.19,3,0,Multiple negations S1
Class 2,Sharding partitions do not databases for do not better performance.,Database sharding distributes data across multiple servers to optimize load.,68.32,4,0,Multiple negations S1
Class 2,Sharding partitions not databases for better performance.,Database sharding distributes data across multiple servers to optimize load.,40.19,1,0,Single negation S1
Class 2,Sharding partitions databases for better performance.,Database sharding do not distributes data do not across multiple servers to do not optimize load.,68.32,0,6,Multiple negations S2
Class 2,Sharding partitions databases for do not better performance.,Database sharding distributes data across multiple servers to optimize load.,68.32,2,0,Odd negations - no cancel
Class 2,Data warehouses store historical information for analysis.,Analytical databases retain structured data for business intelligence.,84.77836814,0,0,Original
Class 2,Data warehouses store historical information for analysis.,Analytical databases retain do not structured data for not business intelligence.,42.39,0,3,Multiple negations S2
Class 2,Data warehouses store historical do not information for analysis.,Analytical databases retain structured data for business intelligence.,72.06,2,0,Odd negations - no cancel
Class 2,Data warehouses store not historical information for analysis.,Analytical databases retain structured data for do not business intelligence.,42.39,1,2,Even negations - cancel
Class 2,Data warehouses store do not historical information for analysis.,Analytical databases retain structured do not data for business intelligence.,72.06,2,2,Even negations - cancel
Class 2,Data warehouses store historical information for analysis.,Analytical databases retain structured data for do not business intelligence.,72.06,0,2,Odd negations - no cancel
Class 2,Data warehouses do not store historical not information for analysis.,Analytical databases retain structured data for business intelligence.,42.39,3,0,Multiple negations S1
Class 2,Data warehouses store historical do not information for analysis.,Analytical databases not retain structured do not data for business intelligence.,42.39,2,3,Even negations - cancel
Class 2,Data warehouses store historical do not information for analysis.,Analytical databases retain structured data for not business intelligence.,42.39,2,1,Odd negations - no cancel
Class 2,OLTP systems support real-time database transactions.,Online Transaction Processing systems handle frequent updates and queries.,80.73416904,0,0,Original
Class 2,OLTP systems support real-time database transactions.,Online Transaction Processing systems handle do not frequent updates not and queries.,40.37,0,3,Multiple negations S2
Class 2,OLTP systems support real-time do not database transactions.,Online Transaction do not Processing systems handle frequent do not updates and queries.,68.62,2,4,Even negations - cancel
Class 2,OLTP systems support real-time database transactions.,Online Transaction Processing do not systems handle frequent updates and queries.,68.62,0,2,Single negation S2
Class 2,OLTP systems not support real-time do not database transactions.,Online Transaction do not Processing systems handle not frequent do not updates and queries.,68.62,3,5,Odd negations - no cancel
Class 2,OLTP systems support real-time database transactions.,Online Transaction Processing systems do not handle frequent updates and queries.,68.62,0,2,Odd negations - no cancel
Class 2,OLTP systems do not support real-time database transactions.,Online Transaction Processing systems handle frequent updates and queries.,68.62,2,0,Single negation S1
Class 2,OLTP systems support real-time not database transactions.,Online Transaction Processing systems handle frequent updates do not and queries.,40.37,1,2,Even negations - cancel
Class 2,OLTP systems support real-time do not database transactions.,Online Transaction Processing systems handle frequent updates and queries.,68.62,2,0,Multiple negations S1
Class 2,OLAP systems enable complex analytical queries on large datasets.,Online Analytical Processing helps in multidimensional data analysis.,84.69635645,0,0,Original
Class 2,OLAP systems do not enable complex analytical queries on large datasets.,Online Analytical Processing helps in multidimensional data analysis.,77.92,2,0,Single negation S1
Class 2,OLAP systems enable complex not analytical queries on do not large datasets.,Online Analytical Processing does not help in do not multidimensional data analysis.,55.05,3,4,Even negations - cancel
Class 2,OLAP systems enable complex analytical queries on large datasets.,Online Analytical Processing does not help in multidimensional data analysis.,77.92,0,2,Single negation S2
Class 2,OLAP systems enable complex analytical do not queries on large datasets.,Online Analytical Processing helps in multidimensional data analysis.,77.92,2,0,Odd negations - no cancel
Class 2,OLAP systems not enable complex analytical queries on do not large datasets.,Online Analytical Processing does not help in multidimensional do not data analysis.,55.05,3,4,Odd negations - no cancel
Class 2,OLAP systems enable complex do not analytical queries on do not large datasets.,Online Analytical Processing does not help in multidimensional data analysis.,77.92,4,2,Odd negations - no cancel
Class 2,OLAP systems enable complex do not analytical queries on large datasets.,Online Analytical Processing does not help in multidimensional not data analysis.,55.05,2,3,Odd negations - no cancel
Class 2,OLAP systems enable complex analytical queries on do not large datasets.,Online Analytical Processing does not help in multidimensional data analysis.,77.92,2,2,Even negations - cancel
Class 2,A database index enhances query performance.,Indexing speeds up searches by creating efficient lookup structures.,76.18165795,0,0,Original
Class 2,A database index enhances query performance.,Indexing speeds not up searches by creating do not efficient lookup structures.,38.09,0,3,Multiple negations S2
Class 2,A database index does not enhanc query performance.,Indexing speeds up searches do not by creating not efficient lookup structures.,38.09,2,3,Even negations - cancel
Class 2,A database index enhances query performance.,Indexing speeds up searches not by creating efficient lookup structures.,38.09,0,1,Single negation S2
Class 2,A database index does not enhanc query performance.,Indexing speeds up searches by creating efficient lookup structures.,64.75,2,0,Multiple negations S1
Class 2,A database index does not enhanc query performance.,Indexing speeds up searches by creating not efficient lookup structures.,38.09,2,1,Even negations - cancel
Class 2,A database index enhances query performance.,Indexing speeds up do not searches by creating efficient lookup structures.,64.75,0,2,Odd negations - no cancel
Class 2,A database index does not enhanc query performance.,Indexing speeds up searches by creating do not efficient lookup structures.,64.75,2,2,Odd negations - no cancel
Class 2,Data integrity constraints maintain database consistency.,Constraints such as UNIQUE and NOT NULL enforce database rules.,78.37997841,0,0,Original
Class 2,Data integrity constraints maintain do not database consistency.,Constraints such as UNIQUE and NOT NULL enforce database rules.,39.19,2,1,Odd negations - no cancel
Class 2,Data integrity constraints maintain database consistency.,Constraints such as UNIQUE and NOT NULL enforce database rules.,39.19,0,1,Single negation S2
Class 2,Data integrity do not constraints maintain database consistency.,Constraints such as UNIQUE and NOT NULL enforce database rules.,39.19,2,1,Single negation S1
Class 2,ER modeling designs database relationships graphically.,Entity-Relationship diagrams visualize data structures and associations.,77.65001426,0,0,Original
Class 2,ER modeling designs database do not relationships graphically.,Entity-Relationship diagrams visualize do not data structures not and associations.,38.83,2,3,Odd negations - no cancel
Class 2,ER modeling designs not database relationships graphically.,Entity-Relationship diagrams visualize data structures and associations.,38.83,1,0,Multiple negations S1
Class 2,ER modeling designs database relationships graphically.,Entity-Relationship diagrams do not visualize data structures do not and associations.,66.0,0,4,Multiple negations S2
Class 2,ER modeling designs database do not relationships graphically.,Entity-Relationship diagrams visualize do not data structures and associations.,66.0,2,2,Even negations - cancel
Class 2,ER modeling designs database relationships graphically.,Entity-Relationship diagrams not visualize data structures and associations.,38.83,0,1,Odd negations - no cancel
Class 2,ER modeling not designs database not relationships graphically.,Entity-Relationship diagrams do not visualize data not structures and associations.,38.83,2,3,Even negations - cancel
Class 2,ER modeling designs do not database relationships graphically.,Entity-Relationship diagrams visualize data structures and associations.,66.0,2,0,Single negation S1
Class 2,Views present virtual tables from database queries.,Database views simplify query results by creating logical tables.,76.89270214,0,0,Original
Class 2,Views present virtual tables from database queries.,Database views simplify query results by not creating logical tables.,49.98,0,1,Single negation S2
Class 2,Views present virtual tables do not from database queries.,Database views simplify query results by creating logical tables.,70.74,2,0,Single negation S1
Class 2,Views present do not virtual tables do not from database queries.,Database views not simplify query do not results by do not creating logical tables.,49.98,4,5,Odd negations - no cancel
Class 2,Views present not virtual tables from do not database queries.,Database views simplify query do not results by creating do not logical tables.,49.98,3,4,Odd negations - no cancel
Class 2,Views present virtual do not tables from do not database queries.,Database views do not simplify query results by creating logical tables.,70.74,4,2,Odd negations - no cancel
Class 2,Views present virtual not tables from do not database queries.,Database views simplify query results by creating logical tables.,49.98,3,0,Multiple negations S1
Class 2,Views present virtual tables from database queries.,Database views simplify query do not results by creating logical tables.,70.74,0,2,Odd negations - no cancel
Class 3,SQL databases ensure structured data storage.,A clustering algorithm groups similar customer transactions.,46.33584532,0,0,Original
Class 3,SQL databases ensure structured not data storage.,A clustering algorithm groups similar do not customer transactions.,23.17,1,2,Odd negations - no cancel
Class 3,SQL databases ensure structured do not data storage.,A clustering do not algorithm groups similar customer transactions.,39.39,2,2,Even negations - cancel
Class 3,SQL databases ensure structured do not data storage.,A clustering algorithm groups not similar customer transactions.,23.17,2,1,Even negations - cancel
Class 3,SQL databases ensure structured data storage.,A clustering not algorithm groups similar customer transactions.,23.17,0,1,Single negation S2
Class 3,SQL databases ensure structured not data storage.,A clustering not algorithm groups similar do not customer transactions.,39.39,1,3,Odd negations - no cancel
Class 3,ACID transactions guarantee data consistency.,A neural network predicts database anomalies in financial data.,45.03587742,0,0,Original
Class 3,ACID transactions guarantee do not data consistency.,A neural network predicts not database anomalies in financial data.,22.52,2,1,Odd negations - no cancel
Class 3,ACID transactions not guarantee data consistency.,A neural do not network predicts do not database anomalies in financial data.,22.52,1,4,Odd negations - no cancel
Class 3,ACID transactions do not guarantee data consistency.,A neural network do not predicts database anomalies in not financial data.,22.52,2,3,Odd negations - no cancel
Class 3,ACID transactions guarantee not data consistency.,A neural do not network predicts database anomalies in do not financial data.,22.52,1,4,Even negations - cancel
Class 3,ACID transactions guarantee data consistency.,A neural network do not predicts database anomalies in financial data.,38.28,0,2,Single negation S2
Class 3,Normalization optimizes relational database design.,A decision tree classifies transaction types based on database logs.,43.8706208,0,0,Original
Class 3,Normalization does not optimiz relational not database design.,A decision tree classifies transaction types based on database logs.,21.94,3,0,Multiple negations S1
Class 3,Normalization optimizes relational database design.,A decision tree does not classifi transaction types based on database logs.,37.29,0,2,Odd negations - no cancel
Class 3,Normalization does not optimiz relational do not database design.,A decision tree does not classifi transaction not types based on database logs.,21.94,4,3,Even negations - cancel
Class 3,Normalization does not optimiz relational do not database design.,A decision tree does not classifi transaction types based on database logs.,37.29,4,2,Odd negations - no cancel
Class 3,Normalization does not optimiz relational database design.,A decision tree classifies transaction types based on database logs.,37.29,2,0,Single negation S1
Class 3,Stored procedures automate repetitive database tasks.,A recommendation engine suggests data indexing strategies.,47.42239717,0,0,Original
Class 3,Stored procedures automate do not repetitive database tasks.,A recommendation engine suggests data do not indexing strategies.,40.31,2,2,Odd negations - no cancel
Class 3,Stored procedures automate repetitive database tasks.,A recommendation engine suggests data do not indexing strategies.,40.31,0,2,Odd negations - no cancel
Class 3,Stored procedures do not automate repetitive database tasks.,A recommendation not engine suggests data do not indexing strategies.,23.71,2,3,Odd negations - no cancel
Class 3,Stored procedures automate repetitive database tasks.,A recommendation engine suggests do not data indexing strategies.,40.31,0,2,Single negation S2
Class 3,Stored procedures not automate repetitive do not database tasks.,A recommendation engine suggests not data indexing strategies.,40.31,3,1,Even negations - cancel
Class 3,Data replication enhances database availability.,A blockchain ledger records transaction histories securely.,45.66861331,0,0,Original
Class 3,Data replication does not enhanc database availability.,A blockchain ledger records transaction histories securely.,38.82,2,0,Multiple negations S1
Class 3,Data replication enhances database availability.,A blockchain ledger not records transaction histories securely.,22.83,0,1,Odd negations - no cancel
Class 3,Data replication does not enhanc database availability.,A blockchain ledger records not transaction histories securely.,22.83,2,1,Odd negations - no cancel
Class 3,Data replication does not enhanc database availability.,A blockchain ledger not records transaction do not histories securely.,22.83,2,3,Odd negations - no cancel
Class 3,OLTP processes handle high-frequency database queries.,Anomaly detection algorithms identify irregular database activities.,42.25714778,0,0,Original
Class 3,OLTP processes handle high-frequency database queries.,Anomaly detection algorithms identify not irregular database activities.,21.13,0,1,Single negation S2
Class 3,OLTP does not process handle high-frequency database queries.,Anomaly detection algorithms identify irregular database activities.,35.92,2,0,Odd negations - no cancel
Class 3,OLTP does not process handle not high-frequency database queries.,Anomaly detection do not algorithms identify irregular not database activities.,35.92,3,3,Odd negations - no cancel
Class 3,OLTP does not process handle high-frequency not database queries.,Anomaly detection algorithms do not identify irregular database activities.,21.13,3,2,Odd negations - no cancel
Class 3,OLTP processes handle high-frequency database queries.,Anomaly detection do not algorithms identify irregular do not database activities.,35.92,0,4,Multiple negations S2
Class 3,Joins retrieve data by combining multiple tables.,A graph algorithm finds shortest paths in complex database relationships.,49.18776376,0,0,Original
Class 3,Joins retrieve not data by combining not multiple tables.,A graph algorithm not finds shortest paths in complex not database relationships.,41.81,2,2,Odd negations - no cancel
Class 3,Joins retrieve do not data by combining do not multiple tables.,A graph algorithm finds shortest paths in complex database relationships.,41.81,4,0,Multiple negations S1
Class 3,Joins retrieve data not by combining do not multiple tables.,A graph algorithm finds shortest paths in complex database relationships.,24.59,3,0,Multiple negations S1
Class 3,Joins retrieve not data by combining multiple tables.,A graph algorithm do not finds shortest paths in complex not database relationships.,41.81,1,3,Even negations - cancel
Class 3,Joins retrieve data do not by combining do not multiple tables.,A graph algorithm finds do not shortest paths in complex not database relationships.,24.59,4,3,Even negations - cancel
Class 3,Sharding distributes database workload efficiently.,A priority queue manages database query execution order.,46.62581839,0,0,Original
Class 3,Sharding distributes not database workload efficiently.,A priority queue manages database query execution order.,23.31,1,0,Multiple negations S1
Class 3,Sharding distributes database not workload efficiently.,A priority queue manages database query execution order.,23.31,1,0,Multiple negations S1
Class 3,Sharding distributes database workload efficiently.,A priority queue does not manag database not query execution order.,23.31,0,3,Multiple negations S2
Class 3,Sharding distributes do not database workload efficiently.,A priority queue does not manag database not query execution order.,23.31,2,3,Even negations - cancel
Class 3,Database backups prevent data loss.,A logistic regression model predicts future database load patterns.,43.40373949,0,0,Original
Class 3,Database backups do not prevent data loss.,A logistic not regression model predicts future database load patterns.,28.21,2,1,Odd negations - no cancel
Class 3,Database backups prevent do not data loss.,A logistic regression do not model predicts future do not database load patterns.,39.93,2,4,Odd negations - no cancel
Class 3,Database backups prevent not data loss.,A logistic regression model predicts future database load patterns.,28.21,1,0,Odd negations - no cancel
Class 3,Database backups do not prevent data loss.,A logistic regression model predicts future database load patterns.,39.93,2,0,Single negation S1
Class 3,Database backups prevent data loss.,A logistic regression model predicts future database not load patterns.,28.21,0,1,Single negation S2
Class 3,Data lakes store large volumes of raw data.,A queue processes data batch requests efficiently.,44.56377386,0,0,Original
Class 3,Data lakes store large volumes of raw data.,A queue does not process data batch requests efficiently.,37.88,0,2,Odd negations - no cancel
Class 3,Data lakes not store large not volumes of raw data.,A queue does not process data not batch requests efficiently.,22.28,2,3,Even negations - cancel
Class 3,Data lakes store large not volumes of raw data.,A queue processes data batch requests efficiently.,22.28,1,0,Multiple negations S1
Class 3,Data lakes store large volumes of raw data.,A queue does not process data batch do not requests efficiently.,37.88,0,4,Multiple negations S2
Class 3,Data lakes store not large volumes of not raw data.,A queue does not process data batch requests efficiently.,37.88,2,2,Even negations - cancel
Class 4,A relational database structures data into tables.,A sorting algorithm arranges numbers in ascending order.,26.02986233,0,0,Original
Class 4,A relational database structures data do not into tables.,A sorting algorithm arranges numbers in ascending order.,22.13,2,0,Odd negations - no cancel
Class 4,A relational database not structures data not into tables.,A sorting algorithm do not arranges numbers in do not ascending order.,22.13,2,4,Odd negations - no cancel
Class 4,A relational database structures data into tables.,A sorting algorithm arranges not numbers in not ascending order.,22.13,0,2,Multiple negations S2
Class 4,A relational database structures data into tables.,A sorting algorithm arranges not numbers in do not ascending order.,13.01,0,3,Multiple negations S2
Class 4,A relational do not database structures data not into tables.,A sorting algorithm arranges not numbers in ascending order.,22.13,3,1,Odd negations - no cancel
Class 4,Stored procedures execute predefined SQL commands.,A binary search algorithm finds elements efficiently.,36.04769727,0,0,Original
Class 4,Stored procedures execute do not predefined SQL commands.,A binary search algorithm finds elements efficiently.,30.64,2,0,Single negation S1
Class 4,Stored procedures execute predefined do not SQL commands.,A binary search not algorithm finds not elements efficiently.,30.64,2,2,Even negations - cancel
Class 4,Stored procedures execute not predefined SQL commands.,A binary do not search algorithm finds do not elements efficiently.,18.02,1,4,Odd negations - no cancel
Class 4,Stored procedures execute predefined do not SQL commands.,A binary search do not algorithm finds do not elements efficiently.,30.64,2,4,Even negations - cancel
Class 4,Stored procedures execute not predefined SQL commands.,A binary search algorithm finds elements efficiently.,18.02,1,0,Odd negations - no cancel
Class 4,A database schema defines the structure of a database.,"A queue follows the first-in, first-out principle.",27.27323899,0,0,Original
Class 4,A database schema do not defines the structure of a database.,"A queue follows the first-in, first-out principle.",25.09,2,0,Single negation S1
Class 4,A database schema defines the structure of a database.,"A queue does not follow the do not first-in, first-out principle.",25.09,0,4,Multiple negations S2
Class 4,A database do not schema defines the structure of a database.,"A queue does not follow the first-in, do not first-out principle.",25.09,2,4,Even negations - cancel
Class 4,A database schema not defines the do not structure of a database.,"A queue does not follow the first-in, first-out principle.",17.73,3,2,Odd negations - no cancel
Class 4,A database not schema defines the structure of a database.,"A queue follows the first-in, first-out principle.",17.73,1,0,Odd negations - no cancel
Class 4,Indexes speed up search operations in databases.,A linked list dynamically stores elements in memory.,36.36046213,0,0,Original
Class 4,Indexes speed up search operations in databases.,A linked list dynamically stores do not elements in memory.,30.91,0,2,Single negation S2
Class 4,Indexes speed up search do not operations in databases.,A linked list do not dynamically stores elements in memory.,30.91,2,2,Even negations - cancel
Class 4,Indexes speed up search not operations in databases.,A linked list dynamically stores elements in memory.,18.18,1,0,Odd negations - no cancel
Class 4,Indexes speed up do not search operations in databases.,A linked list do not dynamically stores not elements in memory.,18.18,2,3,Odd negations - no cancel
Class 4,Indexes speed not up search operations in databases.,A linked list dynamically stores elements in memory.,18.18,1,0,Single negation S1
Class 4,A data dictionary describes database metadata.,Dijkstras algorithm finds the shortest path in a network.,28.71637495,0,0,Original
Class 4,A data do not dictionary describes not database metadata.,Dijkstras algorithm finds the not shortest path in a network.,24.41,3,1,Odd negations - no cancel
Class 4,A data dictionary describes database metadata.,Dijkstras algorithm finds the do not shortest path in a network.,24.41,0,2,Multiple negations S2
Class 4,A data dictionary not describes database metadata.,Dijkstras algorithm finds the shortest path in a network.,14.36,1,0,Single negation S1
Class 4,A data not dictionary describes database metadata.,Dijkstras algorithm finds the do not shortest path in a network.,14.36,1,2,Odd negations - no cancel
Class 4,A data do not dictionary describes database metadata.,Dijkstras algorithm do not finds the shortest do not path in a network.,24.41,2,4,Even negations - cancel
Class 4,Triggers automate database event handling.,Heap sort arranges elements based on priority.,32.2506716,0,0,Original
Class 4,Triggers automate do not database event handling.,Heap sort arranges elements based on priority.,27.41,2,0,Multiple negations S1
Class 4,Triggers automate database do not event handling.,Heap sort arranges do not elements based on priority.,27.41,2,2,Odd negations - no cancel
Class 4,Triggers automate database event handling.,Heap sort not arranges elements based on priority.,16.13,0,1,Single negation S2
Class 4,Triggers automate database not event handling.,Heap sort arranges elements based on priority.,16.13,1,0,Single negation S1
Class 4,A transaction log records changes made to a database.,A spanning tree connects all network nodes with minimal edges.,36.37178681,0,0,Original
Class 4,A transaction log records not changes made to a database.,A spanning tree connects all network nodes with minimal edges.,18.19,1,0,Single negation S1
Class 4,A transaction log records not changes made to a database.,A spanning tree connects all network not nodes with minimal edges.,30.92,1,1,Even negations - cancel
Class 4,A transaction log records do not changes made to a database.,A spanning do not tree connects all do not network nodes with minimal edges.,30.92,2,4,Odd negations - no cancel
Class 4,A transaction log not records changes not made to a database.,A spanning tree connects all network not nodes with minimal edges.,18.19,2,1,Even negations - cancel
Class 4,A transaction not log records changes made to a database.,A spanning tree connects all network nodes with minimal edges.,18.19,1,0,Odd negations - no cancel
Class 4,Database denormalization improves query performance.,A recursive function calls itself in programming logic.,26.26822875,0,0,Original
Class 4,Database denormalization does not improv query performance.,A recursive not function calls not itself in programming logic.,22.33,2,2,Odd negations - no cancel
Class 4,Database denormalization does not improv query performance.,A recursive function calls itself in programming logic.,22.33,2,0,Single negation S1
Class 4,Database denormalization improves query performance.,A recursive function calls do not itself in programming logic.,22.33,0,2,Single negation S2
Class 4,Database denormalization does not improv query performance.,A recursive function do not calls itself in programming logic.,22.33,2,2,Odd negations - no cancel
Class 4,Views simplify database queries by abstracting complexity.,"A stack follows the last-in, first-out principle.",20.29962017,0,0,Original
Class 4,Views simplify database queries do not by abstracting complexity.,"A stack does not follow the do not last-in, first-out principle.",18.68,2,4,Odd negations - no cancel
Class 4,Views simplify database queries by abstracting complexity.,"A stack does not follow the last-in, first-out principle.",18.68,0,2,Single negation S2
Class 4,Views simplify database queries by do not abstracting complexity.,"A stack follows the last-in, first-out principle.",18.68,2,0,Multiple negations S1
Class 4,Views simplify database do not queries by abstracting complexity.,"A stack follows the last-in, first-out principle.",18.68,2,0,Odd negations - no cancel
Class 4,Data indexing accelerates query execution speed.,Graph traversal algorithms explore node connections.,23.18013141,0,0,Original
Class 4,Data indexing not accelerates query do not execution speed.,Graph traversal algorithms not explore node connections.,19.7,3,1,Odd negations - no cancel
Class 4,Data indexing accelerates not query execution speed.,Graph traversal algorithms explore not node connections.,19.7,1,1,Even negations - cancel
Class 4,Data indexing accelerates not query execution speed.,Graph traversal do not algorithms explore not node connections.,19.7,1,3,Even negations - cancel
Class 4,Data indexing do not accelerates query not execution speed.,Graph traversal do not algorithms explore not node connections.,19.7,3,3,Even negations - cancel
Class 4,Data indexing accelerates do not query execution speed.,Graph traversal algorithms explore not node connections.,11.59,2,1,Odd negations - no cancel
Class 1,Parallel computing executes multiple tasks simultaneously.,Multiple processors work together to perform computations in parallel.,96.02806176,0,0,Original
Class 1,Parallel computing not executes multiple tasks simultaneously.,Multiple processors work together to perform computations in parallel.,48.01,1,0,Single negation S1
Class 1,Parallel computing executes multiple tasks simultaneously.,Multiple processors work together to not perform computations in parallel.,48.01,0,1,Single negation S2
Class 1,Parallel computing executes not multiple tasks simultaneously.,Multiple processors work together to not perform computations in parallel.,81.62,1,1,Even negations - cancel
Class 1,Parallel computing not executes multiple do not tasks simultaneously.,Multiple processors work not together to do not perform computations in parallel.,81.62,3,3,Even negations - cancel
Class 1,Parallel computing do not executes multiple tasks simultaneously.,Multiple processors do not work together to perform computations in parallel.,81.62,2,2,Even negations - cancel
Class 1,Parallel computing not executes multiple do not tasks simultaneously.,Multiple processors do not work together to perform computations in parallel.,48.01,3,2,Even negations - cancel
Class 1,Parallel computing not executes multiple not tasks simultaneously.,Multiple processors work together to do not perform computations in parallel.,81.62,2,2,Odd negations - no cancel
Class 1,Parallel computing executes not multiple tasks simultaneously.,Multiple processors not work together to perform not computations in parallel.,48.01,1,2,Odd negations - no cancel
Class 1,Parallel computing executes multiple not tasks simultaneously.,Multiple processors work together to not perform computations in parallel.,81.62,1,1,Odd negations - no cancel
Class 1,Parallel computing not executes multiple not tasks simultaneously.,Multiple processors work not together to not perform computations in parallel.,81.62,2,2,Odd negations - no cancel
Class 1,Parallel computing executes multiple not tasks simultaneously.,Multiple processors work together to perform computations in parallel.,48.01,1,0,Odd negations - no cancel
